日期,合约编码,交易代码,报价时间,到期日,期权类型,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,标的代码,标的收盘价,距离到期日天数,距离到期日时间（折算成年）,无风险利率,经插值的隐含波动率,原始隐含波动率,Delta,Gamma,Vega,Theta,Rho,理论价格,模型误差,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,期货代码,期货价格,连续标志
20201023,10002477,510050C2012M02600,2020-10-23,20201223,C,2.6,0.7961,0.8297,0.7921,0.801,37,2162,299843,10000,510050,3.408,61,0.167123,0.0326,0.1507,,1.0,0.0001,0.0,-0.0002,0.0043,0.8221,-0.0211,0.1678,0.1868,0.1777,0.1861,0.2479,0.2231,0.2261,0.2457,IH2012,3333.8,L3
20201026,10002477,510050C2012M02600,2020-10-26,20201223,C,2.6,0.7702,0.7702,0.7355,0.7481,142,2157,1068390,10000,510050,3.354,58,0.158904,0.073,0.151,,1.0,0.0001,0.0,-0.0005,0.0041,0.784,-0.0359,0.0926,0.1701,0.1817,0.1702,0.2494,0.2241,0.2264,0.2465,IH2012,3277.2,L3
20201027,10002477,510050C2012M02600,2020-10-27,20201223,C,2.6,0.7432,0.7432,0.7299,0.7421,26,2168,191952,10000,510050,3.346,57,0.156164,0.0331,0.1608,,1.0,0.0005,0.0,-0.0002,0.004,0.7594,-0.0173,0.0924,0.1643,0.1753,0.1702,0.2487,0.2239,0.2256,0.2443,IH2012,3274.4,L3
20201028,10002477,510050C2012M02600,2020-10-28,20201223,C,2.6,0.7403,0.7713,0.7365,0.7571,85,2185,641150,10000,510050,3.364,56,0.153425,0.0292,0.1757,,0.9999,0.0011,0.0,-0.0002,0.004,0.7756,-0.0185,0.1001,0.1596,0.1734,0.1701,0.2487,0.2239,0.2195,0.2267,IH2012,3294.4,L3
20201029,10002477,510050C2012M02600,2020-10-29,20201223,C,2.6,0.7312,0.7966,0.7299,0.7833,75,2145,572289,10000,510050,3.383,55,0.150685,0.029,0.1818,,0.9999,0.0011,0.0,-0.0002,0.0039,0.7943,-0.011,0.1064,0.1605,0.1677,0.1665,0.2472,0.2238,0.2194,0.2246,IH2012,3316.0,L2
20201030,10002477,510050C2012M02600,2020-10-30,20201223,C,2.6,0.7798,0.7798,0.7237,0.729,78,2189,588356,10000,510050,3.329,54,0.147945,0.0299,0.2196,,0.9987,0.0148,0.0001,-0.0002,0.0038,0.7406,-0.0116,0.1268,0.1601,0.1744,0.1696,0.2485,0.225,0.2186,0.2254,IH2012,3262.6,L2
20201009,10002478,510050C2012M02650,2020-10-09,20201223,C,2.65,0.6581,0.6777,0.631,0.661,41,1541,273220,10000,510050,3.337,75,0.205479,0.0279,0.1347,,1.0,0.001,0.0,-0.0002,0.0054,0.7021,-0.0411,0.2128,0.1849,0.1732,0.2151,0.2449,0.2216,0.2369,0.2445,IH2012,3241.6,L3
20201012,10002478,510050C2012M02650,2020-10-12,20201223,C,2.65,0.6777,0.7673,0.6777,0.7635,136,1549,993249,10000,510050,3.442,72,0.19726,0.0278,0.1629,,0.9999,0.0015,0.0,-0.0002,0.0052,0.8065,-0.043,0.2253,0.2123,0.1932,0.2183,0.2493,0.2254,0.2399,0.2468,IH2012,3357.0,L3
20201013,10002478,510050C2012M02650,2020-10-13,20201223,C,2.65,0.7583,0.7692,0.7466,0.7692,13,1523,98250,10000,510050,3.437,71,0.194521,0.0345,0.1589,,0.9999,0.001,0.0,-0.0002,0.0051,0.8047,-0.0355,0.2127,0.2024,0.1933,0.2169,0.2494,0.2253,0.2367,0.2466,IH2012,3353.0,L3
20201014,10002478,510050C2012M02650,2020-10-14,20201223,C,2.65,0.7513,0.7582,0.7445,0.7476,10,1524,74760,10000,510050,3.424,70,0.191781,0.032,0.152,,1.0,0.0006,0.0,-0.0002,0.0051,0.7902,-0.0426,0.2016,0.2009,0.1935,0.2159,0.2496,0.2245,0.234,0.2467,IH2012,3341.2,L3
20201015,10002478,510050C2012M02650,2020-10-15,20201223,C,2.65,0.7509,0.7716,0.7509,0.7711,63,1580,480969,10000,510050,3.425,69,0.189041,0.0291,0.1432,,1.0,0.0002,0.0,-0.0002,0.005,0.7895,-0.0184,0.2018,0.1914,0.1906,0.2151,0.2474,0.2241,0.234,0.2466,IH2012,3346.0,L3
20201016,10002478,510050C2012M02650,2020-10-16,20201223,C,2.65,0.7577,0.7899,0.7433,0.764,51,1521,391734,10000,510050,3.432,68,0.186301,0.0279,0.119,,1.0,0.0,0.0,-0.0002,0.0049,0.7957,-0.0317,0.1725,0.1914,0.1901,0.1952,0.2474,0.2241,0.2337,0.2466,IH2012,3353.2,L3
20201019,10002478,510050C2012M02650,2020-10-19,20201223,C,2.65,0.7888,0.8198,0.7413,0.7424,79,1545,607638,10000,510050,3.409,65,0.178082,0.0285,0.0872,,1.0,0.0,0.0,-0.0002,0.0047,0.7724,-0.03,0.1817,0.1934,0.1783,0.1954,0.2478,0.2237,0.2324,0.2465,IH2012,3326.0,L3
20201020,10002478,510050C2012M02650,2020-10-20,20201223,C,2.65,0.738,0.7479,0.738,0.7446,21,1536,155943,10000,510050,3.412,64,0.175342,0.0287,0.165,,0.9999,0.0014,0.0,-0.0002,0.0046,0.7753,-0.0307,0.1817,0.1917,0.1767,0.1854,0.2477,0.2237,0.2311,0.2464,IH2012,3331.8,L3
20201021,10002478,510050C2012M02650,2020-10-21,20201223,C,2.65,0.7539,0.7637,0.7417,0.7637,86,1592,649747,10000,510050,3.433,63,0.172603,0.0285,0.1493,,1.0,0.0002,0.0,-0.0002,0.0046,0.796,-0.0323,0.1797,0.191,0.1773,0.1858,0.2478,0.223,0.2276,0.2465,IH2012,3351.0,L3
20201022,10002478,510050C2012M02650,2020-10-22,20201223,C,2.65,0.7533,0.7533,0.7133,0.7528,28,1524,205118,10000,510050,3.42,62,0.169863,0.0283,0.151,,1.0,0.0003,0.0,-0.0002,0.0045,0.7827,-0.0299,0.1791,0.19,0.1775,0.186,0.2479,0.223,0.2267,0.2465,IH2012,3342.6,L3
20201023,10002478,510050C2012M02650,2020-10-23,20201223,C,2.65,0.7566,0.7797,0.7383,0.7513,31,1536,235749,10000,510050,3.408,61,0.167123,0.0326,0.1507,,1.0,0.0003,0.0,-0.0002,0.0044,0.7724,-0.0211,0.1678,0.1868,0.1777,0.1861,0.2479,0.2231,0.2261,0.2457,IH2012,3333.8,L3
20201026,10002478,510050C2012M02650,2020-10-26,20201223,C,2.65,0.7023,0.7125,0.6866,0.7015,49,1524,342899,10000,510050,3.354,58,0.158904,0.073,0.151,,1.0,0.0004,0.0,-0.0005,0.0042,0.7346,-0.0331,0.0926,0.1701,0.1817,0.1702,0.2494,0.2241,0.2264,0.2465,IH2012,3277.2,L3
20201027,10002478,510050C2012M02650,2020-10-27,20201223,C,2.65,0.6918,0.6918,0.6833,0.6856,9,1527,61941,10000,510050,3.346,57,0.156164,0.0331,0.1608,,0.9999,0.0015,0.0,-0.0002,0.0041,0.7096,-0.024,0.0924,0.1643,0.1753,0.1702,0.2487,0.2239,0.2256,0.2443,IH2012,3274.4,L3
20201028,10002478,510050C2012M02650,2020-10-28,20201223,C,2.65,0.6977,0.7197,0.6977,0.7117,24,1532,170239,10000,510050,3.364,56,0.153425,0.0292,0.1757,,0.9998,0.003,0.0,-0.0002,0.004,0.7258,-0.0141,0.1001,0.1596,0.1734,0.1701,0.2487,0.2239,0.2195,0.2267,IH2012,3294.4,L3
20201029,10002478,510050C2012M02650,2020-10-29,20201223,C,2.65,0.6817,0.7387,0.6807,0.7375,42,1508,299664,10000,510050,3.383,55,0.150685,0.029,0.1818,,0.9998,0.003,0.0,-0.0002,0.004,0.7446,-0.0071,0.1064,0.1605,0.1677,0.1665,0.2472,0.2238,0.2194,0.2246,IH2012,3316.0,L2
20201030,10002478,510050C2012M02650,2020-10-30,20201223,C,2.65,0.7187,0.732,0.6752,0.6811,191,1648,1368659,10000,510050,3.329,54,0.147945,0.0299,0.2196,,0.9974,0.0285,0.0001,-0.0002,0.0039,0.6909,-0.0098,0.1268,0.1601,0.1744,0.1696,0.2485,0.225,0.2186,0.2254,IH2012,3262.6,L2
20201009,10002479,510050C2012M02700,2020-10-09,20201223,C,2.7,0.6,0.63,0.6,0.6096,53,1209,327680,10000,510050,3.337,75,0.205479,0.0279,0.1347,,0.9998,0.0031,0.0,-0.0002,0.0055,0.6524,-0.0428,0.2128,0.1849,0.1732,0.2151,0.2449,0.2216,0.2369,0.2445,IH2012,3241.6,L3
20201012,10002479,510050C2012M02700,2020-10-12,20201223,C,2.7,0.637,0.72,0.637,0.7175,68,1162,478232,10000,510050,3.442,72,0.19726,0.0278,0.1629,,0.9997,0.0039,0.0,-0.0002,0.0053,0.7568,-0.0393,0.2253,0.2123,0.1932,0.2183,0.2493,0.2254,0.2399,0.2468,IH2012,3357.0,L3
20201013,10002479,510050C2012M02700,2020-10-13,20201223,C,2.7,0.7001,0.7191,0.6969,0.7191,31,1151,217537,10000,510050,3.437,71,0.194521,0.0345,0.1589,,0.9998,0.0028,0.0,-0.0003,0.0052,0.7551,-0.036,0.2127,0.2024,0.1933,0.2169,0.2494,0.2253,0.2367,0.2466,IH2012,3353.0,L3
20201014,10002479,510050C2012M02700,2020-10-14,20201223,C,2.7,0.706,0.706,0.6945,0.6992,28,1152,196897,10000,510050,3.424,70,0.191781,0.032,0.152,,0.9999,0.0019,0.0,-0.0002,0.0051,0.7405,-0.0413,0.2016,0.2009,0.1935,0.2159,0.2496,0.2245,0.234,0.2467,IH2012,3341.2,L3
20201015,10002479,510050C2012M02700,2020-10-15,20201223,C,2.7,0.7138,0.7171,0.7051,0.7171,27,1152,191028,10000,510050,3.425,69,0.189041,0.0291,0.1432,,1.0,0.0008,0.0,-0.0002,0.0051,0.7398,-0.0227,0.2018,0.1914,0.1906,0.2151,0.2474,0.2241,0.234,0.2466,IH2012,3346.0,L3
20201016,10002479,510050C2012M02700,2020-10-16,20201223,C,2.7,0.7332,0.7332,0.6934,0.716,261,998,1885667,10000,510050,3.432,68,0.186301,0.0279,0.119,,1.0,0.0,0.0,-0.0002,0.005,0.746,-0.03,0.1725,0.1914,0.1901,0.1952,0.2474,0.2241,0.2337,0.2466,IH2012,3353.2,L3
20201019,10002479,510050C2012M02700,2020-10-19,20201223,C,2.7,0.76,0.7678,0.6898,0.7099,57,1005,414185,10000,510050,3.409,65,0.178082,0.0285,0.0872,,1.0,0.0,0.0,-0.0002,0.0048,0.7227,-0.0128,0.1817,0.1934,0.1783,0.1954,0.2478,0.2237,0.2324,0.2465,IH2012,3326.0,L3
20201020,10002479,510050C2012M02700,2020-10-20,20201223,C,2.7,0.6873,0.6996,0.6855,0.6996,27,1002,187797,10000,510050,3.412,64,0.175342,0.0287,0.165,,0.9998,0.0038,0.0,-0.0002,0.0047,0.7256,-0.026,0.1817,0.1917,0.1767,0.1854,0.2477,0.2237,0.2311,0.2464,IH2012,3331.8,L3
20201021,10002479,510050C2012M02700,2020-10-21,20201223,C,2.7,0.6894,0.698,0.6894,0.698,11,974,76150,10000,510050,3.433,63,0.172603,0.0285,0.1493,,1.0,0.0007,0.0,-0.0002,0.0046,0.7462,-0.0482,0.1797,0.191,0.1773,0.1858,0.2478,0.223,0.2276,0.2465,IH2012,3351.0,L3
20201022,10002479,510050C2012M02700,2020-10-22,20201223,C,2.7,0.6874,0.6874,0.6627,0.6818,25,991,168816,10000,510050,3.42,62,0.169863,0.0283,0.151,,1.0,0.0009,0.0,-0.0002,0.0046,0.7329,-0.0511,0.1791,0.19,0.1775,0.186,0.2479,0.223,0.2267,0.2465,IH2012,3342.6,L3
20201023,10002479,510050C2012M02700,2020-10-23,20201223,C,2.7,0.7121,0.7302,0.6898,0.7027,63,1006,448167,10000,510050,3.408,61,0.167123,0.0326,0.1507,,1.0,0.0009,0.0,-0.0002,0.0045,0.7227,-0.02,0.1678,0.1868,0.1777,0.1861,0.2479,0.2231,0.2261,0.2457,IH2012,3333.8,L3
20201026,10002479,510050C2012M02700,2020-10-26,20201223,C,2.7,0.68,0.68,0.64,0.6619,48,1026,314593,10000,510050,3.354,58,0.158904,0.073,0.151,,0.9999,0.0013,0.0,-0.0005,0.0042,0.6852,-0.0233,0.0926,0.1701,0.1817,0.1702,0.2494,0.2241,0.2264,0.2465,IH2012,3277.2,L3
20201027,10002479,510050C2012M02700,2020-10-27,20201223,C,2.7,0.6423,0.6457,0.636,0.6446,54,1071,347210,10000,510050,3.346,57,0.156164,0.0331,0.1608,,0.9998,0.0043,0.0,-0.0002,0.0042,0.6599,-0.0153,0.0924,0.1643,0.1753,0.1702,0.2487,0.2239,0.2256,0.2443,IH2012,3274.4,L3
20201028,10002479,510050C2012M02700,2020-10-28,20201223,C,2.7,0.6409,0.6683,0.6356,0.6623,25,1058,163341,10000,510050,3.364,56,0.153425,0.0292,0.1757,,0.9995,0.0076,0.0,-0.0002,0.0041,0.6761,-0.0138,0.1001,0.1596,0.1734,0.1701,0.2487,0.2239,0.2195,0.2267,IH2012,3294.4,L3
20201029,10002479,510050C2012M02700,2020-10-29,20201223,C,2.7,0.6339,0.6938,0.6322,0.687,76,1098,504429,10000,510050,3.383,55,0.150685,0.029,0.1818,,0.9995,0.0074,0.0,-0.0002,0.004,0.6948,-0.0078,0.1064,0.1605,0.1677,0.1665,0.2472,0.2238,0.2194,0.2246,IH2012,3316.0,L2
20201030,10002479,510050C2012M02700,2020-10-30,20201223,C,2.7,0.6795,0.681,0.6288,0.631,105,1115,688011,10000,510050,3.329,54,0.147945,0.0299,0.2196,,0.995,0.0516,0.0002,-0.0003,0.004,0.6414,-0.0104,0.1268,0.1601,0.1744,0.1696,0.2485,0.225,0.2186,0.2254,IH2012,3262.6,L2
20201009,10002480,510050C2012M02750,2020-10-09,20201223,C,2.75,0.5603,0.5831,0.5603,0.5642,74,1527,422406,10000,510050,3.337,75,0.205479,0.0279,0.1347,,0.9995,0.0087,0.0,-0.0002,0.0056,0.6027,-0.0385,0.2128,0.1849,0.1732,0.2151,0.2449,0.2216,0.2369,0.2445,IH2012,3241.6,L3
20201012,10002480,510050C2012M02750,2020-10-12,20201223,C,2.75,0.5825,0.6712,0.5825,0.67,116,1442,730228,10000,510050,3.442,72,0.19726,0.0278,0.1629,,0.9993,0.0092,0.0,-0.0002,0.0054,0.7071,-0.0371,0.2253,0.2123,0.1932,0.2183,0.2493,0.2254,0.2399,0.2468,IH2012,3357.0,L3
20201013,10002480,510050C2012M02750,2020-10-13,20201223,C,2.75,0.6563,0.6684,0.648,0.6684,10,1438,65672,10000,510050,3.437,71,0.194521,0.0345,0.1589,,0.9995,0.0068,0.0,-0.0003,0.0053,0.7054,-0.037,0.2127,0.2024,0.1933,0.2169,0.2494,0.2253,0.2367,0.2466,IH2012,3353.0,L3
20201014,10002480,510050C2012M02750,2020-10-14,20201223,C,2.75,0.6477,0.6504,0.6468,0.6504,26,1441,168830,10000,510050,3.424,70,0.191781,0.032,0.152,,0.9997,0.0051,0.0,-0.0002,0.0052,0.6909,-0.0405,0.2016,0.2009,0.1935,0.2159,0.2496,0.2245,0.234,0.2467,IH2012,3341.2,L3
20201015,10002480,510050C2012M02750,2020-10-15,20201223,C,2.75,0.6653,0.6796,0.6504,0.6701,91,1351,598847,10000,510050,3.425,69,0.189041,0.0291,0.1432,,0.9999,0.0024,0.0,-0.0002,0.0052,0.6901,-0.02,0.2018,0.1914,0.1906,0.2151,0.2474,0.2241,0.234,0.2466,IH2012,3346.0,L3
20201016,10002480,510050C2012M02750,2020-10-16,20201223,C,2.75,0.6839,0.689,0.6451,0.6683,140,1239,940076,10000,510050,3.432,68,0.186301,0.0279,0.119,,1.0,0.0001,0.0,-0.0002,0.0051,0.6963,-0.028,0.1725,0.1914,0.1901,0.1952,0.2474,0.2241,0.2337,0.2466,IH2012,3353.2,L3
20201019,10002480,510050C2012M02750,2020-10-19,20201223,C,2.75,0.7183,0.72,0.6373,0.6373,24,1254,158161,10000,510050,3.409,65,0.178082,0.0285,0.0872,,1.0,0.0,0.0,-0.0002,0.0049,0.6729,-0.0356,0.1817,0.1934,0.1783,0.1954,0.2478,0.2237,0.2324,0.2465,IH2012,3326.0,L3
20201020,10002480,510050C2012M02750,2020-10-20,20201223,C,2.75,0.6395,0.6478,0.6395,0.64,9,1260,57844,10000,510050,3.412,64,0.175342,0.0287,0.165,,0.9994,0.0092,0.0,-0.0002,0.0048,0.6759,-0.0359,0.1817,0.1917,0.1767,0.1854,0.2477,0.2237,0.2311,0.2464,IH2012,3331.8,L3
20201021,10002480,510050C2012M02750,2020-10-21,20201223,C,2.75,0.6431,0.6569,0.6404,0.6569,19,1268,122189,10000,510050,3.433,63,0.172603,0.0285,0.1493,,0.9999,0.0021,0.0,-0.0002,0.0047,0.6965,-0.0396,0.1797,0.191,0.1773,0.1858,0.2478,0.223,0.2276,0.2465,IH2012,3351.0,L3
20201022,10002480,510050C2012M02750,2020-10-22,20201223,C,2.75,0.6379,0.6585,0.6175,0.6585,20,1267,126839,10000,510050,3.42,62,0.169863,0.0283,0.151,,0.9998,0.0028,0.0,-0.0002,0.0046,0.6832,-0.0247,0.1791,0.19,0.1775,0.186,0.2479,0.223,0.2267,0.2465,IH2012,3342.6,L3
20201023,10002480,510050C2012M02750,2020-10-23,20201223,C,2.75,0.6592,0.6788,0.6425,0.6511,29,1274,188962,10000,510050,3.408,61,0.167123,0.0326,0.1507,,0.9998,0.0029,0.0,-0.0002,0.0046,0.673,-0.0219,0.1678,0.1868,0.1777,0.1861,0.2479,0.2231,0.2261,0.2457,IH2012,3333.8,L3
20201026,10002480,510050C2012M02750,2020-10-26,20201223,C,2.75,0.6177,0.6177,0.589,0.6038,67,1323,403416,10000,510050,3.354,58,0.158904,0.073,0.151,,0.9998,0.004,0.0,-0.0005,0.0043,0.6357,-0.0319,0.0926,0.1701,0.1817,0.1702,0.2494,0.2241,0.2264,0.2465,IH2012,3277.2,L3
20201027,10002480,510050C2012M02750,2020-10-27,20201223,C,2.75,0.5877,0.5981,0.5838,0.5937,36,1316,212744,10000,510050,3.346,57,0.156164,0.0331,0.1608,,0.9993,0.0112,0.0,-0.0003,0.0043,0.6102,-0.0165,0.0924,0.1643,0.1753,0.1702,0.2487,0.2239,0.2256,0.2443,IH2012,3274.4,L3
20201028,10002480,510050C2012M02750,2020-10-28,20201223,C,2.75,0.5918,0.618,0.5918,0.618,25,1316,152272,10000,510050,3.364,56,0.153425,0.0292,0.1757,,0.9988,0.0176,0.0001,-0.0002,0.0042,0.6264,-0.0084,0.1001,0.1596,0.1734,0.1701,0.2487,0.2239,0.2195,0.2267,IH2012,3294.4,L3
20201029,10002480,510050C2012M02750,2020-10-29,20201223,C,2.75,0.5868,0.6494,0.5786,0.6387,178,1215,1107076,10000,510050,3.383,55,0.150685,0.029,0.1818,,0.9988,0.0168,0.0001,-0.0002,0.0041,0.6451,-0.0064,0.1064,0.1605,0.1677,0.1665,0.2472,0.2238,0.2194,0.2246,IH2012,3316.0,L2
20201030,10002480,510050C2012M02750,2020-10-30,20201223,C,2.75,0.6302,0.6313,0.58,0.5833,56,1239,333893,10000,510050,3.329,54,0.147945,0.0299,0.2196,,0.9908,0.0882,0.0003,-0.0003,0.004,0.592,-0.0087,0.1268,0.1601,0.1744,0.1696,0.2485,0.225,0.2186,0.2254,IH2012,3262.6,L2
20201009,10002481,510050C2012M02800,2020-10-09,20201223,C,2.8,0.5131,0.5334,0.5131,0.5181,180,2478,946371,10000,510050,3.337,75,0.205479,0.0279,0.1347,,0.9986,0.0219,0.0001,-0.0002,0.0057,0.5531,-0.035,0.2128,0.1849,0.1732,0.2151,0.2449,0.2216,0.2369,0.2445,IH2012,3241.6,L3
20201012,10002481,510050C2012M02800,2020-10-12,20201223,C,2.8,0.54,0.6238,0.54,0.622,220,2297,1275667,10000,510050,3.442,72,0.19726,0.0278,0.1629,,0.9985,0.0198,0.0001,-0.0002,0.0055,0.6574,-0.0354,0.2253,0.2123,0.1932,0.2183,0.2493,0.2254,0.2399,0.2468,IH2012,3357.0,L3
20201013,10002481,510050C2012M02800,2020-10-13,20201223,C,2.8,0.604,0.6214,0.6001,0.6214,28,2276,170441,10000,510050,3.437,71,0.194521,0.0345,0.1589,,0.9989,0.0155,0.0001,-0.0003,0.0054,0.6558,-0.0344,0.2127,0.2024,0.1933,0.2169,0.2494,0.2253,0.2367,0.2466,IH2012,3353.0,L3
20201014,10002481,510050C2012M02800,2020-10-14,20201223,C,2.8,0.5978,0.6073,0.5973,0.6027,12,2275,72014,10000,510050,3.424,70,0.191781,0.032,0.152,,0.9992,0.0123,0.0,-0.0002,0.0053,0.6412,-0.0385,0.2016,0.2009,0.1935,0.2159,0.2496,0.2245,0.234,0.2467,IH2012,3341.2,L3
20201015,10002481,510050C2012M02800,2020-10-15,20201223,C,2.8,0.6066,0.6268,0.6066,0.616,13,2276,80376,10000,510050,3.425,69,0.189041,0.0291,0.1432,,0.9996,0.0067,0.0,-0.0002,0.0053,0.6404,-0.0244,0.2018,0.1914,0.1906,0.2151,0.2474,0.2241,0.234,0.2466,IH2012,3346.0,L3
20201016,10002481,510050C2012M02800,2020-10-16,20201223,C,2.8,0.6356,0.6418,0.5971,0.6216,14,2272,87876,10000,510050,3.432,68,0.186301,0.0279,0.119,,1.0,0.0005,0.0,-0.0002,0.0052,0.6465,-0.0249,0.1725,0.1914,0.1901,0.1952,0.2474,0.2241,0.2337,0.2466,IH2012,3353.2,L3
20201019,10002481,510050C2012M02800,2020-10-19,20201223,C,2.8,0.65,0.6716,0.5964,0.5964,20,2264,128248,10000,510050,3.409,65,0.178082,0.0285,0.0872,,1.0,0.0,0.0,-0.0002,0.005,0.6232,-0.0268,0.1817,0.1934,0.1783,0.1954,0.2478,0.2237,0.2324,0.2465,IH2012,3326.0,L3
20201020,10002481,510050C2012M02800,2020-10-20,20201223,C,2.8,0.594,0.5987,0.594,0.5967,5,2265,29828,10000,510050,3.412,64,0.175342,0.0287,0.165,,0.9985,0.0206,0.0001,-0.0002,0.0049,0.6262,-0.0295,0.1817,0.1917,0.1767,0.1854,0.2477,0.2237,0.2311,0.2464,IH2012,3331.8,L3
20201021,10002481,510050C2012M02800,2020-10-21,20201223,C,2.8,0.604,0.6087,0.59,0.6087,10,2268,59612,10000,510050,3.433,63,0.172603,0.0285,0.1493,,0.9997,0.0059,0.0,-0.0002,0.0048,0.6467,-0.038,0.1797,0.191,0.1773,0.1858,0.2478,0.223,0.2276,0.2465,IH2012,3351.0,L3
20201022,10002481,510050C2012M02800,2020-10-22,20201223,C,2.8,0.61,0.6151,0.5693,0.6151,42,2285,245152,10000,510050,3.42,62,0.169863,0.0283,0.151,,0.9996,0.0075,0.0,-0.0002,0.0047,0.6334,-0.0183,0.1791,0.19,0.1775,0.186,0.2479,0.223,0.2267,0.2465,IH2012,3342.6,L3
20201023,10002481,510050C2012M02800,2020-10-23,20201223,C,2.8,0.615,0.6316,0.5938,0.6046,30,2290,183836,10000,510050,3.408,61,0.167123,0.0326,0.1507,,0.9995,0.0079,0.0,-0.0003,0.0047,0.6232,-0.0186,0.1678,0.1868,0.1777,0.1861,0.2479,0.2231,0.2261,0.2457,IH2012,3333.8,L3
20201026,10002481,510050C2012M02800,2020-10-26,20201223,C,2.8,0.57,0.57,0.5422,0.5539,90,2308,504616,10000,510050,3.354,58,0.158904,0.073,0.151,,0.9994,0.011,0.0,-0.0006,0.0044,0.5863,-0.0324,0.0926,0.1701,0.1817,0.1702,0.2494,0.2241,0.2264,0.2465,IH2012,3277.2,L3
20201027,10002481,510050C2012M02800,2020-10-27,20201223,C,2.8,0.545,0.55,0.537,0.54,33,2286,179522,10000,510050,3.346,57,0.156164,0.0331,0.1608,,0.9982,0.0267,0.0001,-0.0003,0.0043,0.5605,-0.0205,0.0924,0.1643,0.1753,0.1702,0.2487,0.2239,0.2256,0.2443,IH2012,3274.4,L3
